2025-10-18 23:26:20,653 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,754 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,855 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:20,956 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,057 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,159 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,260 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,360 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,461 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,562 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,663 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,766 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,867 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:21,970 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,071 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,173 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,274 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,375 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,476 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,578 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,679 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,779 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,881 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:22,981 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,082 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,183 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,284 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,385 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,486 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,587 | WARNING | collector | Kare alınamadı. 100ms bekle.
2025-10-18 23:26:23,718 | WARNING | collector | Kare alınamadı. 100ms bekle.
